Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200066918;CA Alès Agglomération;25.2;1372;243000643;18670;5.3
200066926;CA Grand Auch Cœur de Gascogne;24.7;396;243100518;21510;7.5
200066975;CC Senlis Sud Oise;18.3;277;null;27580;14.9
200067023;CC Coutances Mer et Bocage;26.3;329;200042604;20610;5
200067031;CC Côte Ouest Centre Manche;27.4;120;null;19740;2.9
200067049;CC Spelunca-Liamone;32.9;112;null;20930;6.6
200067064;CC Decazeville Communauté;31.8;129;null;19300;2.6
200067072;CC Haut-Léon Communauté;26.7;189;242900751;20930;5.1
200067080;CC Chablis Villages et Terroirs;22.6;91;200067114;21850;4.1
200067106;CA du Pays Basque;24.4;4597;243300316;21800;9.4
200067114;CA de l'Auxerrois;22.8;605;242100410;21230;6.9
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;20.9;84;null;20330;4.1
200067130;CC de Puisaye-Forterre;29.7;250;200067114;20370;3.8
200067155;CC Saint Affricain, Roquefort, Sept Vallons;26.7;103;null;20300;5.3
